Lighthouse Name,ARLHS Number,Status,State Province,Coordinates,Coordinates,Coordinates,Gridsquare,IOTA,# of Activations
Amherst Basin Rear Range (Bay of Fundy),CAN 1380,Hist -,Nova Scotia,-,-,-,-,-,-
"Amherst Island/lAnse à la Cabane/Ile du Havre Aubert (Magdalen Islands) Île du Havre Aubert/Amherst Island/lAnse à la Cabane (Magdalen Islands), QC : lAnse à la Cabane/Ile du Havre Aubert/Amherst Island (Magdalen Islands), QC",CAN 772,- -,Quebec,47° 12.7' N,061° 58.3' W,Map,FN97af,-,1
Amphitrite Point,CAN 010,- -,British Columbia,48° 55.0' N,125° 32.0' W,Map,CN78fw,-,-
Anderson Hollow,CAN 704,- -,New Brunswick,-,-,-,-,-,3
Ange Gardien Range Front (St. Lawrence River),CAN 1173,Hist -,Quebec,46° 53.9' N,071° 7.2' W,Map,FN46kv,-,1
Ange Gardien Range Rear (St. Lawrence River),CAN 1174,Hist -,Quebec,-,-,-,-,-,-
Angus Island (Lake Superior),CAN 1026,- -,Ontario,48° 14.0' N,089° 0.0' W,Map,EN58lf,-,-
"Annandale Range Front/Banks Point Banks Point/Annandale Range (Front), PE",CAN 011,- -,Prince Edward Island,46° 16.0' N,062° 25.0' W,Map,FN86tg,-,1
"Annandale Range Rear/Juniper Point Juniper Point/Annandale Range (Rear), PE",CAN 012,- -,Prince Edward Island,46° 16.0' N,062° 25.0' W,Map,FN86tg,-,1
Annapolis,CAN 013,- -,Nova Scotia,44° 44.0' N,065° 31.0' W,Map,FN74fr,-,1
Anse aux Gascons Range Rear,CAN 1347,- -,Quebec,48° 11.0' N,064° 52.0' W,Map,FN78ne,-,-
"Anse Blue/Blue Cove Blue Cove/Anse Blue, NB H",CAN 744,Hist -,New Brunswick,-,-,-,-,-,-
Apple River,CAN 014,- -,Nova Scotia,45° 28.0' N,064° 51.0' W,Map,FN75nl,-,1
Arisaig (Northumberland Strait),CAN 1272,Hist -,Nova Scotia,-,-,-,-,-,-
Arisaig Harbour Range Front,CAN 990,- -,Nova Scotia,45° 46.0' N,069° 10.0' W,Map,FN55js,-,-
Arisaig Harbour Range Rear,CAN 991,- -,Nova Scotia,45° 46.0' N,069° 10.0' W,Map,FN55js,-,-
Armitage Marina West,CAN 1432,- -,Ontario,45° 28.6' N,075° 59.6' W,Map,FN25al,-,7
Arnprior Island (Ottawa River) (New),CAN 1044,Hist -,Quebec,45° 27.4' N,076° 21.2' W,Map,FN15tk,-,6
Arnprior Island (Ottawa River) Old,CAN 1434,Hist -,Quebec,-,-,-,-,-,3
Ash Island (Richelieu River),CAN 866,Hist -,Quebec,45° 3.6' N,073° 19.6' W,Map,FN35ib,-,-
Aylmer Island (Ottawa River) (New),CAN 867,Hist -,Ontario,45° 23.8' N,075° 53.3' W,Map,FN25bj,-,26
Aylmer Island (Ottawa River) (Old),CAN 1437,Hist -,Ontario,-,-,-,-,-,20
Aylmer Marina,CAN 1431,- -,Quebec,45° 23.7' N,075° 51.5' W,Map,FN25bj,-,26
Bacalhao Island,CAN 647,- -,Newfoundland and Labrador,49° 41.0' N,054° 33.0' W,Map,GN29rq,-,-
Baccalieu Island Northeast,CAN 671,Hist -,Newfoundland and Labrador,48° 9.0' N,052° 48.0' W,Map,GN38od,-,-
Baccalieu Island Southwest,CAN 672,- -,Newfoundland and Labrador,48° 6.0' N,052° 49.0' W,Map,GN38oc,-,-
Baccaro Point,CAN 015,Hist -,Nova Scotia,43° 27.0' N,065° 28.0' W,Map,FN73gk,-,-
Badgeley Island Range Front (Georgian Bay),CAN 1259,Hist -,Ontario,-,-,-,-,-,-
"Badgeley Island Range Rear/Badgeley Island (Georgian Bay) Badgeley Island/Badgeley Island Range Rear (Georgian Bay), ON",CAN 016,Hist -,Ontario,-,-,-,-,-,-
"Bagot Bluff/Escarpement Bagot (Anticosti Island) Escarpement Bagot/Bagot Bluff (Anticosti Island), QC",CAN 172,- -,Quebec,49° 4.0' N,062° 15.6' W,Map,FN89ub,-,-
"Baie des Moutons Front Range/Mutton Bay Front Range (Gulf of St. Lawrence) Mutton Bay Front Range/Baie des Moutons Front Range (Gulf of St. Lawrence), QC",CAN 1133,- -,Quebec,50° 46.0' N,059° 2.0' W,Map,GO00ls,-,-
"Baie des Moutons Rear Range/Mutton Bay Rear Range (Gulf of St. Lawrence) Mutton Bay Rear Range/Baie des Moutons Rear Range (Gulf of St. Lawrence), QC",CAN 1134,- -,Quebec,50° 46.0' N,059° 2.0' W,Map,GO00ls,-,-
Baie Ellis Range Front (Île d'Anticosti),CAN 958,Hist -,Quebec,49° 48.7' N,064° 20.8' W,Map,FN79tt,-,-
Baie Ellis Range Rear (Île d'Aanticosti),CAN 959,Hist -,Quebec,49° 48.8' N,064° 20.8' W,Map,FN79tt,-,-
Baie Saint-Paul (St Lawrence R.),CAN 868,Hist -,Quebec,47° 25.7' N,070° 29.3' W,Map,FN47sk,-,-
Baillie Brook (Gulf of St. Lawrence),CAN 1273,- -,Nova Scotia,45° 42.0' N,062° 16.0' W,Map,FN85uq,-,-
Balache Point Range Front,CAN 1413,- -,Nova Scotia,45° 39.0' N,061° 25.0' W,Map,FN95hp,-,-
Balache Point Rear Range Balache Point,CAN 017,- -,Nova Scotia,45° 38.9' N,061° 24.9' W,Map,FN95hp,-,1
"Ballenas Island/Ballinac Islands Ballinac Islands/Ballenas Island, BC",CAN 018,Hist -,British Columbia,49° 21.0' N,124° 10.0' W,Map,CN79wi,-,-
Bamford Island (Lake Huron),CAN 1045,Hist -,Ontario,-,-,-,-,-,-
Banc du Cap Brûlé Downstream Rear Range,CAN 1004,- -,Quebec,47° 5.4' N,070° 42.6' W,Map,FN47pc,-,2
Banc du Cap Brûlé du Cap Brûlé Downstream Range Front,CAN 1136,- -,Quebec,47° 5.8' N,070° 42.2' W,Map,FN47pc,-,2
Banc du Cap Brûlé Upstream Range Front,CAN 1137,- -,Quebec,47° 5.4' N,070° 42.6' W,Map,FN47pc,-,2
Banc du Cap Brûlé Upstream Range Rear,CAN 1138,- -,Quebec,47° 5.8' N,070° 42.2' W,Map,FN47pc,-,1
Bar Point Pier (Detroit River),CAN 1008,- -,Ontario,42° 2.4' N,083° 8.1' W,Map,EN82ka,-,1
Bare Point (Chemainus Bay),CAN 019,Hist -,British Columbia,48° 56.0' N,123° 42.0' W,Map,CN88dw,-,-
Barra à Boulard Rear Range,CAN 1393,- -,Quebec,46° 39.9' N,071° 51.9' W,Map,FN46bp,-,-
Barre à Boulard Front Range (St. Lawrence River),CAN 869,Hist -,Quebec,46° 39.6' N,071° 52.6' W,Map,FN46bp,-,-
Barret Rock,CAN 020,Hist -,British Columbia,54° 15.0' N,130° 21.0' W,Map,CO44tg,-,-
Basin Head Harbour,CAN 022,- -,Prince Edward Island,-,-,-,-,-,-
Baskin's Beach Range Front (Ottawa River) (Old),CAN 1435,Hist -,Ontario,-,-,-,-,-,6
Baskin's Beach Range Rear (Ottawa River) (Old),CAN 1436,Hist -,Ontario,-,-,-,-,-,6
Baskins Wharf Range Front (Ottawa River) (New),CAN 1046,- -,Ontario,45° 28.8' N,076° 0.4' W,Map,FN15xl,-,8
Baskins Wharf Range Rear (Ottawa River) (New),CAN 1047,- -,Ontario,45° 28.7' N,076° 0.3' W,Map,FN15xl,-,8
Bass River,CAN 023,- -,Nova Scotia,-,-,-,-,-,2
Bathurst Front Range Light,CAN 900,Hist -,New Brunswick,-,-,-,-,-,1
Bathurst Rear Range Light,CAN 901,Hist -,New Brunswick,-,-,-,-,-,1
Batiscan Rear Range (St Lawrence R.),CAN 870,Hist -,Quebec,46° 30.5' N,072° 14.7' W,Map,FN36vm,-,-
Battery Point (Lunenburg Harbour),CAN 1381,Hist -,Nova Scotia,-,-,-,-,-,-
Battery Point Breakwater,CAN 024,- -,Nova Scotia,44° 22.0' N,064° 18.0' W,Map,FN74ui,-,1
Battle Island (Lake Superior),CAN 547,- -,Ontario,-,-,-,-,-,-
"Bay Bulls/Bull Head Bull Head/Bay Bulls, NF",CAN 650,- -,Newfoundland and Labrador,47° 19.0' N,052° 45.0' W,Map,GN37ph,-,-
"Bay Roberts/Green Point Green Point/Bay Roberts, NF",CAN 659,Hist -,Newfoundland and Labrador,47° 37.0' N,053° 11.0' W,Map,GN37jo,-,1
Bayswater,CAN 025,- -,New Brunswick,-,-,-,-,-,-
Beach Point (Breakwater),CAN 026,Hist -,Prince Edward Island,46° 1.0' N,062° 29.0' W,Map,FN86sa,-,2
"Beacon Light/Bunker Island Bunker Island/Beacon Light, NS",CAN 062,- -,Nova Scotia,43° 49.0' N,066° 9.0' W,Map,FN63wt,-,-
"Bear Cove Point/Fermeuse Fermeuse/Bear Cove Point, NF",CAN 1326,- -,Newfoundland and Labrador,46° 56.0' N,052° 54.0' W,Map,GN36nw,-,-
Bear Island (Chedabucto Bay),CAN 1363,Hist -,Nova Scotia,-,-,-,-,-,-
Bear River,CAN 027,- -,Nova Scotia,-,-,-,-,-,1
"Beauharnois Front Range/Melocheville Range Front (St Lawrence R.) Melocheville Front Range/Beauharnois Front Range (St Lawrence River), QC H",CAN 871,Hist -,Quebec,45° 17.6' N,073° 55.9' W,Map,FN35ah,-,-
"Beauharnois Rear Range/Melocheville Range Rear (St Lawrence River) Melocheville Rear Range/Beauharnois Rear Range (St Lawrence River), QC H",CAN 872,Hist -,Quebec,45° 17.9' N,073° 55.7' W,Map,FN35ah,-,-
Beausoleil Island (Lake Huron),CAN 548,- -,Ontario,-,-,-,-,-,1
Beaver Harbour,CAN 1233,Hist -,Nova Scotia,-,-,-,-,-,-
Beaver Island,CAN 028,- -,Nova Scotia,44° 49.0' N,062° 20.0' W,Map,FN84ut,-,-
Bécancour Front Range (St Lawrence River),CAN 873,- -,Quebec,46° 22.4' N,072° 27.0' W,Map,FN36si,-,-
Bécancour Rear Range (St. Lawrence River),CAN 1175,- -,Quebec,-,-,-,-,-,-
Bell Island,CAN 673,Hist -,Newfoundland and Labrador,47° 39.0' N,052° 55.0' W,Map,GN37np,-,-
Belle Creek,CAN 1251,Hist -,Prince Edward Island,-,-,-,-,-,-
Belle Isle North East (Labrador),CAN 648,- -,Newfoundland and Labrador,-,-,-,-,-,-
Belle Isle North End (Labrador),CAN 674,- -,Newfoundland and Labrador,52° 1.0' N,055° 17.0' W,Map,GO22ia,-,-
Belle Isle South End Lower (Labrador),CAN 747,- -,Newfoundland and Labrador,51° 53.0' N,055° 24.0' W,Map,GO21hv,-,-
Belle Isle South End Upper (Labrador),CAN 675,- -,Newfoundland and Labrador,51° 53.0' N,055° 23.0' W,Map,GO21hv,-,-
Belle Isle South West (Labrador),CAN 649,- -,Newfoundland and Labrador,-,-,-,-,-,-
Belle River Breakwater,CAN 029,- -,Prince Edward Island,-,-,-,-,-,-
Bellechasse,CAN 773,Hist -,Quebec,46° 55.9' N,070° 46.0' W,Map,FN46ow,-,1
Belledune Point,CAN 705,Hist -,New Brunswick,-,-,-,-,-,-
Belleville (Lake Ontario),CAN 810,- -,Ontario,44° 9.2' N,077° 22.5' W,Map,FN14hd,-,2
Belliveau's Cove,CAN 030,- -,Nova Scotia,44° 23.0' N,066° 4.0' W,Map,FN64xj,-,1
Belloni Point Light,CAN 902,Hist -,New Brunswick,-,-,-,-,-,-
Belyeas Point,CAN 031,- -,New Brunswick,-,-,-,-,-,1
Berens Island (Victoria Harbour),CAN 032,Hist -,British Columbia,48° 25.0' N,123° 24.0' W,Map,CN88hk,-,-
Berry Head,CAN 033,- -,Nova Scotia,45° 11.0' N,061° 19.0' W,Map,FN95ie,-,-
Betty Island,CAN 034,- -,Nova Scotia,44° 26.0' N,063° 46.0' W,Map,FN84ck,-,1
Big Shippagan,CAN 035,Hist -,New Brunswick,-,-,-,-,-,-
Big Tignish Breakwater,CAN 037,Hist -,Prince Edward Island,46° 57.0' N,064° 0.0' W,Map,FN86aw,-,-
"Big Tignish/Judes Point Judes Point/Big Tignish, PE",CAN 036,Hist -,Prince Edward Island,46° 56.8' N,063° 59.7' W,Map,FN86aw,-,1
Big Tub (Lake Huron),CAN 549,Hist -,Ontario,-,-,-,-,-,1
Biglow Point Front Range (Pugwash Harbour),CAN 1364,Hist -,Nova Scotia,-,-,-,-,-,-
Biglow Point Rear Range (Pugwash Harbour),CAN 1365,Hist -,Nova Scotia,-,-,-,-,-,-
Bilhook Island (Front),CAN 038,Hist -,Prince Edward Island,-,-,-,-,-,1
Bilhook Island (Rear),CAN 039,- -,Prince Edward Island,-,-,-,-,-,-
"Bird Rock/Rocher aux Oiseaux (Magdalen Islands) Rocher aux Oiseaux/Bird Rock (Magdalen Islands), QC",CAN 040,- -,Quebec,47° 50.3' N,061° 8.7' W,Map,FN97ku,-,-
Bishops Bay Range Front (Lake Of The Woods),CAN 1048,Hist -,Ontario,-,-,-,-,-,-
Bishops Bay Range Rear (Lake Of The Woods),CAN 1049,Hist -,Ontario,-,-,-,-,-,-
Black Bear Island,CAN 736H,Hist -,Manitoba,51° 46.7' N,096° 54.2' W,Map,EO11ns,-,-
Black Bear Island Museum,CAN 736M,- Museum,Manitoba,50° 8.8' N,096° 51.9' W,Map,EO10nd,-,2
Black Point,CAN 041,- -,New Brunswick,-,-,-,-,-,-
Black Point (Lake Memphremagog),CAN 720,Hist -,Quebec,-,-,-,-,-,-
Black Rock,CAN 042,- -,Nova Scotia,45° 10.0' N,064° 46.0' W,Map,FN75oe,-,2
Black Rock Point (Bras d'Or Lake) (New),CAN 043,Hist -,Nova Scotia,46° 18.0' N,060° 23.0' W,Map,FN96th,-,1
Black Rock Point (Bras d'Or Lake) (Old),CAN 1289,Hist -,Nova Scotia,-,-,-,-,-,-
Blind River,CAN 044,- -,Ontario,-,-,-,-,-,-
Bliss Island,CAN 045,Hist -,New Brunswick,-,-,-,-,-,4
"Blockhouse Point/Rocky Point - Charlottet Rocky Point - Charlottet/Blockhouse Point, PE",CAN 046,- -,Prince Edward Island,46° 11.0' N,063° 8.0' W,Map,FN86ke,-,1
Bluffers Park,CAN 1406,- -,Ontario,43° 42.4' N,079° 13.6' W,Map,FN03jq,-,1
Boar Island (Burgeo),CAN 676,Hist -,Newfoundland and Labrador,47° 36.0' N,057° 35.0' W,Map,GN17fo,-,-
Boar's Head,CAN 047,Hist -,Nova Scotia,44° 24.0' N,066° 13.0' W,Map,FN64vj,-,1
Boat Bluff,CAN 048,- -,British Columbia,52° 39.0' N,128° 31.0' W,Map,CO52rp,-,-
"Boblo Island/Bois Blanc Island Bois Blanc Island/Boblo Island, ON",CAN 049,Hist -,Ontario,45° 45.0' N,084° 28.0' W,Map,EN75ss,-,-
"Bon Désir/Cap de Bon-Désir Cap Bon Désir/Bon-Désir, QC : Cap de Bon-Désir/Bon Désir, QC",CAN 080,- -,Quebec,48° 16.3' N,069° 28.1' W,Map,FN58gg,-,1
"Bon Portage/Outer Island Outer Island/Bon Portage, NS",CAN 360,- -,Nova Scotia,43° 27.0' N,065° 45.0' W,Map,FN73ck,-,1
Bonilla Island,CAN 050,Hist -,British Columbia,53° 30.0' N,130° 38.0' W,Map,CO43qm,-,-
"Borden Wharf Canning, Light in the Hayfield, Borden's Wharf",CAN 072H,Hist -,Nova Scotia,45° 8.7' N,064° 24.0' W,Map,FN75td,-,-
"Borden\'s Wharf Historical Display Canning, Borden's Wharf, Light in the Hayfield, Fieldwood Heritage Society",CAN 072M,- Museum,Nova Scotia,45° 9.4' N,064° 25.3' W,Map,FN75sd,-,1
"Bouctouche Bar/Bouctouche Head/Bouctouche Dune Bouctouche Dune/Bouctouche Bar/Bouctouche Head, NB : Bouctouche Head/Bouctouche Dune/Bouctouche Bar, NB",CAN 055,- -,New Brunswick,-,-,-,-,-,1
"Bourgeois Inlet/River Bourgeois River Bourgeois/Bourgeois Inlet, NS H",CAN 056,Hist -,Nova Scotia,45° 38.0' N,060° 57.0' W,Map,FN95mp,-,-
"Bowmanville/Port Darlington (Lake Ontario) Port Darlington/Bowmanville (Lake Ontario), ON H",CAN 1330,Hist -,Ontario,43° 53.0' N,078° 40.0' W,Map,FN03pv,-,-
Boyd Island,CAN 057,Hist -,Ontario,-,-,-,-,-,-
"Brandy Pot/Pot à l'Eau-de-Vie Pot à l'Eau-de-Vie/Brandy Pot, QC",CAN 601,- -,Quebec,47° 52.3' N,069° 40.9' W,Map,FN57du,-,2
"Brébeuf Island/Brébeuf Range Front (Georgian Bay) Brébeuf Range Front/Brébeuf Island (Georgian Bay), ON",CAN 058,- -,Ontario,44° 52.7' N,079° 53.1' W,Map,FN04bv,-,1
Brébeuf Range Rear (Beausoleil Island) (Georgian Bay),CAN 1027,- -,Ontario,44° 52.6' N,079° 52.5' W,Map,FN04bv,-,-
Bridges Point Light,CAN 903,Hist -,New Brunswick,-,-,-,-,-,-
Brier Island,CAN 059,Hist -,Nova Scotia,44° 15.0' N,066° 24.0' W,Map,FN64tf,NA-127,2
Brighton Beach Range Front (Charlottetown),CAN 126,- -,Prince Edward Island,46° 14.0' N,063° 9.0' W,Map,FN86kf,-,2
Brighton Beach Range Rear (Charlottetown),CAN 127,- -,Prince Edward Island,46° 14.0' N,063° 9.0' W,Map,FN86kf,-,2
Brigus,CAN 832,- -,Newfoundland and Labrador,47° 33.0' N,053° 11.0' W,Map,GN37jn,-,-
Britannia (Ottawa River),CAN 1050,Hist -,Ontario,45° 21.9' N,075° 48.4' W,Map,FN25ci,-,4
Broad Cove Point Range Front,CAN 833,- -,Newfoundland and Labrador,48° 45.0' N,058° 39.0' W,Map,GN08qs,-,-
Broad Cove Point Range Rear,CAN 834,- -,Newfoundland and Labrador,48° 45.0' N,058° 39.0' W,Map,GN08qs,-,-
Brockton Point (Vancouver Harbour),CAN 060,Hist -,British Columbia,49° 18.0' N,123° 7.0' W,Map,CN89kh,-,3
Brockville Breakwater (St. Lawrence River),CAN 1277,Hist -,Ontario,-,-,-,-,-,3
"Brockville Range Rear/Crossover Range Rear (St. Lawrence River) Crossover Range Rear/Brockville Range Rear (St. Lawrence River), ON",CAN 1030,- -,Ontario,44° 32.0' N,075° 46.0' W,Map,FN24cm,-,2
Bronte (Lake Ontario),CAN 1051,Hist -,Ontario,-,-,-,-,-,-
Bruce Mines,CAN 061,- -,Ontario,-,-,-,-,-,1
Brunette Island (Fortune Bay),CAN 797,Hist -,Newfoundland and Labrador,47° 15.0' N,055° 52.0' W,Map,GN27bf,-,-
Brush Wharf Range Front (Orwell Bay),CAN 1252,Hist -,Prince Edward Island,-,-,-,-,-,-
Brush Wharf Range Rear (Orwell Bay),CAN 1253,Hist -,Prince Edward Island,-,-,-,-,-,-
Buckham Point (Ottawa River),CAN 1052,Hist -,Ontario,45° 30.7' N,076° 5.6' W,Map,FN15wm,-,4
Budget (Indian Harbour),CAN 1382,Hist -,Nova Scotia,-,-,-,-,-,-
Bunker Island North End,CAN 1287,Hist -,Nova Scotia,43° 49.0' N,066° 8.0' W,Map,FN63wt,-,-
Burlington Bay Inner (Lake Ontario),CAN 1117,Hist -,Ontario,-,-,-,-,-,1
"Burlington Canal Main/Burlington Main (Lake Ontario) Burlington Main/Burlington Canal Main (Lake Ontario), ON",CAN 063,- -,Ontario,43° 17.9' N,079° 47.7' W,Map,FN03ch,-,9
"Burlington Canal Range Front/Burlington Canal Range (Lake Ontario) Burlington Canal Range/Burlington Canal Range Front (Lake Ontario), ON",CAN 618,- -,Ontario,-,-,-,-,-,4
Burnt Island (St. Lawrence River),CAN 1053,Hist -,Ontario,-,-,-,-,-,1
Burnt Point,CAN 677,- -,Newfoundland and Labrador,49° 36.0' N,054° 10.0' W,Map,GN29vo,-,-
Burntcoat Head,CAN 064,Hist -,Nova Scotia,45° 18.0' N,063° 48.0' W,Map,FN85ch,-,1
Bustard Rocks (Georgian Bay),CAN 065,Hist -,Ontario,-,-,-,-,-,-
Bustard Rocks Eastbound Range Front (Georgian Bay),CAN 1334,Hist -,Ontario,45° 53.5' N,080° 57.1' W,Map,EN95mv,-,-
Bustard Rocks Westbound Range Front (Georgian Bay),CAN 1335,- -,Ontario,-,-,-,-,-,-
Byng Inlet Range Front (Lake Huron),CAN 066,Hist -,Ontario,-,-,-,-,-,-
Byng Inlet Range Rear (Lake Huron),CAN 552,- -,Ontario,-,-,-,-,-,-
Cabot Head (Georgian Bay),CAN 067,- -,Ontario,45° 14.7' N,081° 17.5' W,Map,EN95if,-,1
Cabot Island,CAN 068,Hist -,Newfoundland and Labrador,49° 10.0' N,053° 22.0' W,Map,GN39hd,-,-
"Caissie Cape/Cap-de-Caissie Cap-de-Caissie/Caissie Cape, NB",CAN 743,- -,New Brunswick,-,-,-,-,-,1
Calvaire Range Front (St. Lawrence River),CAN 874,- -,Quebec,46° 33.4' N,072° 5.2' W,Map,FN36wn,-,1
Calvaire Range Rear (St. Lawrence River),CAN 1114,- -,Quebec,-,-,-,-,-,1
Cameron Island,CAN 069,Hist -,Nova Scotia,45° 49.0' N,061° 0.0' W,Map,FN95lt,-,-
Camp Islands (Labrador),CAN 678,Hist -,Newfoundland and Labrador,52° 10.0' N,055° 38.0' W,Map,GO22ed,-,-
Campbell Island (Ottawa River),CAN 1054,Hist -,Ontario,-,-,-,-,-,2
Campbellton Range Back,CAN 070,Hist -,New Brunswick,-,-,-,-,-,-
Campbellton Range Front,CAN 723,Hist -,New Brunswick,-,-,-,-,-,-
Candlebox Island,CAN 071,Hist -,Nova Scotia,43° 40.0' N,066° 3.0' W,Map,FN63xp,-,-
Canoe Gully Inner Range Front,CAN 073,- -,Prince Edward Island,46° 27.0' N,064° 6.0' W,Map,FN76wk,-,-
Canoe Gully Inner Range Rear,CAN 074,- -,Prince Edward Island,46° 27.0' N,064° 6.0' W,Map,FN76wk,-,-
Canoe Gully Outer Range Front,CAN 075,- -,Prince Edward Island,46° 26.0' N,064° 7.0' W,Map,FN76wk,-,-
Canoe Gully Outer Range Rear,CAN 076,- -,Prince Edward Island,46° 26.0' N,064° 7.0' W,Map,FN76wk,-,-
"Canso Harbour, New",CAN 1366,- -,Nova Scotia,-,-,-,-,-,-
"Canso Harbour, Old",CAN 1408,Hist -,Nova Scotia,-,-,-,-,-,-
Canso Range Front (Canso Town),CAN 634,- -,Nova Scotia,45° 20.0' N,060° 59.0' W,Map,FN95mi,-,-
Canso Range Rear (Canso Town),CAN 077,Hist -,Nova Scotia,45° 20.0' N,060° 59.0' W,Map,FN95mi,-,-
Cap ALRIGHT (Magdalen Islands),CAN 775,- -,Quebec,47° 23.5' N,061° 46.4' W,Map,FN97cj,-,-
Cap au Diable Front Range,CAN 1291,- -,Quebec,46° 50.0' N,071° 1.9' W,Map,FN46lt,-,1
Cap au Diable Rear Range,CAN 1292,- -,Quebec,46° 49.4' N,071° 2.9' W,Map,FN46lt,-,1
Cap au Saumon,CAN 078,- -,Quebec,47° 46.2' N,069° 54.4' W,Map,FN57bs,-,1
"Cap aux Meules/Pointe Hérissée/Grindstone (Magdalen Islands) Grindstone/Cap aux Meules/Pointe Hérissée (Magdalen Islands), QC : Pointe Hérossée/Grindstone/Cap aux Meules (Magdalen Islands), QC",CAN 961,- -,Quebec,47° 23.0' N,061° 56.0' W,Map,FN97aj,-,-
Cap aux Oies,CAN 079,- -,Quebec,47° 29.3' N,070° 13.9' W,Map,FN47vl,-,1
Cap Blanc (Percé),CAN 955,- -,Quebec,48° 30.0' N,064° 13.0' W,Map,FN78vl,-,-
Cap Brûlé Montée du Lac Light,CAN 962,Hist -,Quebec,47° 6.5' N,070° 43.0' W,Map,FN47pc,-,-
Cap Brûlé Front Range (St. Lawrence River),CAN 1150,Hist -,Quebec,-,-,-,-,-,-
Cap Brûlé Rear Range (St. Lawrence River),CAN 1151,Hist -,Quebec,-,-,-,-,-,-
Cap Chat,CAN 089,- -,Quebec,49° 5.3' N,066° 44.5' W,Map,FN69pc,-,-
"Cap d'Espoir/Cape Despair (Gulf of St. Lawrence) Cape Despair/Cap d'Espoir (Gulf of St. Lawrence), QC",CAN 086,- -,Quebec,48° 25.2' N,064° 19.0' W,Map,FN78uk,-,5
Cap de l'Est (Saguenay River),CAN 963,- -,Quebec,48° 22.6' N,070° 42.3' W,Map,FN48pj,-,-
Cap de la Madeleine,CAN 081,- -,Quebec,49° 15.1' N,065° 19.5' W,Map,FN79ig,-,-
Cap de la Madeleine (St Lawrence R.),CAN 875,Hist -,Quebec,-,-,-,-,-,-
Cap de la Madeleine Lower Rear Range (St. Lawrence River),CAN 876,Hist -,Quebec,-,-,-,-,-,-
Cap de la Madeleine Upper Front Range (St. Lawrence River),CAN 877,Hist -,Quebec,-,-,-,-,-,-
Cap de la Madeleine Upper Rear Range (St. Lawrence River),CAN 878,Hist -,Quebec,-,-,-,-,-,-
Cap de la Madeleine Village Front Range (St. Lawrence River),CAN 879,Hist -,Quebec,-,-,-,-,-,-
"Cap de la Table/Table Head (Anticosti Island) Table Head/Cap de la Table (Anticosti Island), QC",CAN 082,- -,Quebec,49° 21.1' N,061° 53.7' W,Map,FN99bi,-,-
"Cap de la Tête au Chien/Dog's Head Cape Dog's Head Cape/Cap de la Tête au Chien, QC",CAN 083,- -,Quebec,47° 54.7' N,069° 48.4' W,Map,FN57cv,-,1
Cap de Rabast/Pointe-Nord (Île d'Anticosti),CAN 084,- -,Quebec,49° 57.1' N,064° 9.0' W,Map,FN79ww,-,-
Cap des Caissie Point Point Caissie,CAN 090,- -,New Brunswick,46° 19.2' N,064° 30.8' W,Map,FN76rh,-,1
Cap des Rosiers,CAN 085,- -,Quebec,48° 51.4' N,064° 12.1' W,Map,FN78vu,-,-
Cap Egmont,CAN 114,- -,Prince Edward Island,46° 24.0' N,064° 8.0' W,Map,FN76wj,-,2
